Zaman_Adimi,Yil,Ay,Tarih,NDWI
1,1984,3,1984-03,-0.15525916460346617
2,1984,4,1984-04,-0.12721961718810054
3,1984,6,1984-06,-0.1362291308954079
4,1984,7,1984-07,-0.17300017352073574
5,1984,9,1984-09,-0.19647802901905667
6,1984,10,1984-10,-0.21438480418311814
7,1984,12,1984-12,-0.12337954443217601
8,1985,5,1985-05,-0.1945449485109936
9,1985,7,1985-07,-0.21042836175460364
10,1985,8,1985-08,-0.1910823250723399
11,1985,9,1985-09,-0.18754658563155782
12,1985,10,1985-10,-0.1895203336809176
13,1985,11,1985-11,-0.17193726465104375
14,1986,2,1986-02,-0.144567768627919
15,1986,3,1986-03,-0.12042179261862918
16,1986,4,1986-04,-0.1854394568087514
17,1986,5,1986-05,-0.14983980329334626
18,1986,6,1986-06,-0.19602878464818763
19,1986,7,1986-07,-0.20340861205187832
20,1986,8,1986-08,-0.18759206307945586
21,1986,9,1986-09,-0.1937227443031755
22,1986,10,1986-10,-0.20082382762991127
23,1986,12,1986-12,-0.1857431563476024
24,1987,2,1987-02,-0.16280993363136853
25,1987,4,1987-04,-0.16625997013512037
26,1987,5,1987-05,-0.19615016974850852
27,1987,6,1987-06,-0.20728574315157464
28,1987,7,1987-07,-0.10474118625631838
29,1987,8,1987-08,-0.18171376062485642
30,1987,9,1987-09,-0.18739157281895968
31,1988,3,1988-03,-0.13719204097989338
32,1988,5,1988-05,-0.1577238119294194
33,1988,6,1988-06,-0.21068640055187984
34,1988,7,1988-07,-0.21417395306028533
35,1988,8,1988-08,-0.19381087785104967
36,1988,9,1988-09,-0.2063568072307186
37,1988,10,1988-10,-0.1887269815852682
38,1988,11,1988-11,-0.15413277775551906
39,1988,12,1988-12,0.054156908665105384
40,1989,1,1989-01,-0.0968186318825606
41,1989,2,1989-02,-0.18841497747747749
42,1989,3,1989-03,-0.17888373097268703
43,1989,4,1989-04,-0.21146710492875417
44,1989,5,1989-05,-0.2222655898159546
45,1989,6,1989-06,-0.1662607077369386
46,1989,7,1989-07,-0.182034471819816
47,1989,8,1989-08,-0.19512497417888866
48,1989,9,1989-09,-0.2001737745275505
49,1989,10,1989-10,-0.1871290603115512
50,1989,11,1989-11,-0.18737711364530082
51,1990,1,1990-01,-0.1375816077221933
52,1990,3,1990-03,-0.18229379243812846
53,1990,4,1990-04,-0.11939040662967905
